,,,,,,,,,,,
Loan Purpose,Checking ,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Small Appliance, $-   , $739.00 ,13,12,M,Single,23,Own,3,Unskilled,Low
Furniture, $-   ," $1,230.00 ",25,0,M,Divorced,32,Own,1,Skilled,High
New Car, $-   , $389.00 ,19,119,M,Single,38,Own,4,Management,High
Furniture, $638.00 , $347.00 ,13,14,M,Single,36,Own,2,Unskilled,High
Education, $963.00 ," $4,754.00 ",40,45,M,Single,31,Rent,3,Skilled,Low
Furniture," $2,827.00 ", $-   ,11,13,M,Married,25,Own,1,Skilled,Low
New Car, $-   , $229.00 ,13,16,M,Married,26,Own,3,Unskilled,Low
Business, $-   , $533.00 ,14,2,M,Single,27,Own,1,Unskilled,Low
Small Appliance," $6,509.00 ", $493.00 ,37,9,M,Single,25,Own,2,Skilled,High
Small Appliance, $966.00 , $-   ,25,4,F,Divorced,43,Own,1,Skilled,High
Business, $-   , $989.00 ,49,0,M,Single,32,Rent,2,Management,High
New Car, $-   ," $3,305.00 ",11,15,M,Single,34,Rent,2,Unskilled,Low
Business, $322.00 , $578.00 ,10,14,M,Married,26,Own,1,Skilled,Low
New Car, $-   , $821.00 ,25,63,M,Single,44,Own,1,Skilled,High
New Car, $396.00 , $228.00 ,13,26,M,Single,46,Own,3,Unskilled,Low
Used Car, $-   , $129.00 ,31,8,M,Divorced,39,Own,4,Management,Low
Furniture, $652.00 , $732.00 ,49,4,F,Divorced,25,Own,2,Skilled,High
New Car, $708.00 , $683.00 ,13,33,M,Single,31,Own,2,Skilled,Low
Repairs, $207.00 , $-   ,28,116,M,Single,47,Own,4,Skilled,Low
Education, $287.00 ," $12,348.00 ",7,2,F,Divorced,23,Rent,2,Skilled,High
Furniture, $-   ," $17,545.00 ",34,16,F,Divorced,22,Own,4,Skilled,High
Furniture, $101.00 ," $3,871.00 ",13,5,F,Divorced,26,Rent,4,Skilled,High
Furniture, $-   , $-   ,25,23,M,Married,19,Own,4,Skilled,High
Furniture, $-   , $485.00 ,37,23,F,Divorced,27,Own,2,Management,High
New Car, $-   ," $10,723.00 ",11,15,M,Single,39,Rent,2,Unskilled,Low
Business, $141.00 , $245.00 ,22,33,M,Single,26,Own,3,Skilled,Low
Used Car, $-   , $-   ,19,58,M,Single,50,Other,4,Skilled,High
Used Car," $2,484.00 ", $-   ,49,46,M,Single,34,Other,1,Skilled,Low
Small Appliance, $237.00 , $236.00 ,37,24,M,Single,23,Rent,4,Skilled,Low
Small Appliance, $-   , $485.00 ,19,12,M,Single,23,Own,2,Skilled,Low
Education, $335.00 ," $1,708.00 ",37,7,M,Single,46,Other,4,Skilled,High
Small Appliance," $3,565.00 ", $-   ,31,32,M,Single,35,Own,3,Skilled,Low
Small Appliance, $-   , $407.00 ,13,2,F,Divorced,28,Own,2,Skilled,Low
Business," $16,647.00 ", $895.00 ,16,34,M,Single,25,Rent,4,Skilled,Low
Business, $-   , $150.00 ,49,46,F,Divorced,36,Rent,4,Skilled,High
Small Appliance, $-   , $490.00 ,5,41,M,Single,41,Own,1,Unskilled,Low
Furniture, $-   , $162.00 ,25,1,M,Divorced,54,Own,1,Skilled,High
