Loan Purpose,Checking ,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Small Appliance,0.00,739.00,13,12,M,Single,23,Own,3,Unskilled,Low
Furniture,0.00,1230.00,25,0,M,Divorced,32,Own,1,Skilled,High
New Car,0.00,389.00,19,119,M,Single,38,Own,4,Management,High
Furniture,638.00,347.00,13,14,M,Single,36,Own,2,Unskilled,High
Education,963.00,4754.00,40,45,M,Single,31,Rent,3,Skilled,Low
Furniture,2827.00,0.00,11,13,M,Married,25,Own,1,Skilled,Low
New Car,0.00,229.00,13,16,M,Married,26,Own,3,Unskilled,Low
Business,0.00,533.00,14,2,M,Single,27,Own,1,Unskilled,Low
Small Appliance,6509.00,493.00,37,9,M,Single,25,Own,2,Skilled,High
Small Appliance,966.00,0.00,25,4,F,Divorced,43,Own,1,Skilled,High
Business,0.00,989.00,49,0,M,Single,32,Rent,2,Management,High
New Car,0.00,3305.00,11,15,M,Single,34,Rent,2,Unskilled,Low
Business,322.00,578.00,10,14,M,Married,26,Own,1,Skilled,Low
New Car,0.00,821.00,25,63,M,Single,44,Own,1,Skilled,High
New Car,396.00,228.00,13,26,M,Single,46,Own,3,Unskilled,Low
Used Car,0.00,129.00,31,8,M,Divorced,39,Own,4,Management,Low
Furniture,652.00,732.00,49,4,F,Divorced,25,Own,2,Skilled,High
New Car,708.00,683.00,13,33,M,Single,31,Own,2,Skilled,Low
Repairs,207.00,0.00,28,116,M,Single,47,Own,4,Skilled,Low
Education,287.00,12348.00,7,2,F,Divorced,23,Rent,2,Skilled,High
Furniture,0.00,17545.00,34,16,F,Divorced,22,Own,4,Skilled,High
Furniture,101.00,3871.00,13,5,F,Divorced,26,Rent,4,Skilled,High
Furniture,0.00,0.00,25,23,M,Married,19,Own,4,Skilled,High
Furniture,0.00,485.00,37,23,F,Divorced,27,Own,2,Management,High
New Car,0.00,10723.00,11,15,M,Single,39,Rent,2,Unskilled,Low
Business,141.00,245.00,22,33,M,Single,26,Own,3,Skilled,Low
Used Car,0.00,0.00,19,58,M,Single,50,Other,4,Skilled,High
Used Car,2484.00,0.00,49,46,M,Single,34,Other,1,Skilled,Low
Small Appliance,237.00,236.00,37,24,M,Single,23,Rent,4,Skilled,Low
Small Appliance,0.00,485.00,19,12,M,Single,23,Own,2,Skilled,Low
